================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-03T14:41:49.252972
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260303_144149.log
================================================================================

[2026-03-03T14:41:49.254966] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-03T14:41:50.139617] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-03T14:41:54.302064] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.302064] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566913.813,1.17456]]
[2026-03-03T14:41:54.303062] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.303062] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772566913.813,0.58667]]
[2026-03-03T14:41:54.305057] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.305057] [RECV] Mensagem recebida (38 bytes): [["USDCAD_otc",1772566913.813,1.3688]]
[2026-03-03T14:41:54.306473] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.306791] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566913.813,159.582]]
[2026-03-03T14:41:54.307852] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.308376] [RECV] Mensagem recebida (39 bytes): [["USDRUB_otc",1772566913.814,74.9076]]
[2026-03-03T14:41:54.308882] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.309879] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772566913.814,85.27146]]
[2026-03-03T14:41:54.359002] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.370265] [RECV] Mensagem recebida (39319 bytes): {"asset":"EURTRY_otc","period":1,"history":[[1772566171.682,51.85957],[1772566172.182,51.85956],[1772566172.684,51.85957],[1772566173.184,51.85956],[1772566173.685,51.85956],[1772566174.098,51.85956],...
[2026-03-03T14:41:54.568639] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.676836] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566914.132,1.17456]]
[2026-03-03T14:41:54.678338] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.678338] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566914.132,0.49278]]
[2026-03-03T14:41:54.679341] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.679849] [RECV] Mensagem recebida (39 bytes): [["CADCHF_otc",1772566914.132,0.61503]]
[2026-03-03T14:41:54.680899] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.680899] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566914.132,115.456]]
[2026-03-03T14:41:54.681874] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.682688] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772566914.132,0.58667]]
[2026-03-03T14:41:54.683207] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.683207] [RECV] Mensagem recebida (38 bytes): [["USDCAD_otc",1772566914.132,1.3688]]
[2026-03-03T14:41:54.684191] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.685188] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566914.132,159.582]]
[2026-03-03T14:41:54.686185] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.686185] [RECV] Mensagem recebida (39 bytes): [["USDRUB_otc",1772566914.132,74.9076]]
[2026-03-03T14:41:54.686185] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.687643] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772566914.132,85.27146]]
[2026-03-03T14:41:54.688638] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.688638] [RECV] Mensagem recebida (40 bytes): [["EURTRY_otc",1772566914.132,51.85891]]
[2026-03-03T14:41:55.260014] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.299725] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566914.813,0.49282]]
[2026-03-03T14:41:55.301334] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.301334] [RECV] Mensagem recebida (37 bytes): [["CADCHF_otc",1772566914.813,0.615]]
[2026-03-03T14:41:55.303565] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.303565] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566914.813,115.463]]
[2026-03-03T14:41:55.304559] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.305158] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566914.814,1.17456]]
[2026-03-03T14:41:55.305718] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.305718] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772566914.814,0.58667]]
[2026-03-03T14:41:55.306662] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.307673] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772566914.814,1.36877]]
[2026-03-03T14:41:55.308746] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.308746] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566914.814,159.582]]
[2026-03-03T14:41:55.309765] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.309765] [RECV] Mensagem recebida (39 bytes): [["USDRUB_otc",1772566914.815,74.9074]]
[2026-03-03T14:41:55.310298] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.311269] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772566914.815,85.27144]]
[2026-03-03T14:41:55.314461] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.362841] [RECV] Mensagem recebida (40 bytes): [["EURTRY_otc",1772566914.816,51.85889]]
[2026-03-03T14:41:55.763393] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.921087] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566915.313,0.49287]]
[2026-03-03T14:41:55.925122] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.925643] [RECV] Mensagem recebida (39 bytes): [["CADCHF_otc",1772566915.313,0.61502]]
[2026-03-03T14:41:55.928346] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.928856] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566915.313,115.456]]
[2026-03-03T14:41:55.930758] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.931808] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566915.314,1.17454]]
[2026-03-03T14:41:55.935311] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.935841] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772566915.314,0.58665]]
